areaname,Not Adjusted,Year,period,laborforce,employed,unemployed,unemployment rate
Massachusetts,0,2012,12,3490900,3262400,228400,6.5
Massachusetts,0,2013,00,3508500,3272000,236500,6.7
Massachusetts,0,2013,01,3480200,3214400,265900,7.6
Massachusetts,0,2013,02,3477300,3227200,250100,7.2
Massachusetts,0,2013,03,3480000,3238700,241300,6.9
Massachusetts,0,2013,04,3481300,3253500,227900,6.5
Massachusetts,0,2013,05,3493600,3260600,233100,6.7
Massachusetts,0,2013,06,3563200,3304600,258700,7.3
Massachusetts,0,2013,07,3560900,3310400,250500,7.0
Massachusetts,0,2013,08,3550000,3315400,234500,6.6
Massachusetts,0,2013,09,3501900,3267600,234300,6.7
Massachusetts,0,2013,10,3494900,3276600,218400,6.2
Massachusetts,0,2013,11,3512300,3299700,212600,6.1
Massachusetts,0,2013,12,3506800,3295400,211400,6.0
Massachusetts,0,2014,00,3557500,3352700,204800,5.8
Massachusetts,0,2014,01,3503600,3263200,240300,6.9
Massachusetts,0,2014,02,3509000,3277900,231100,6.6
Massachusetts,0,2014,03,3523800,3303000,220800,6.3
Massachusetts,0,2014,04,3510900,3316500,194400,5.5
Massachusetts,0,2014,05,3525400,3328000,197300,5.6
Massachusetts,0,2014,06,3596000,3381200,214800,6.0
Massachusetts,0,2014,07,3609200,3391400,217800,6.0
Massachusetts,0,2014,08,3606500,3401500,204900,5.7
Massachusetts,0,2014,09,3560200,3358700,201500,5.7
Massachusetts,0,2014,10,3580400,3401000,179400,5.0
Massachusetts,0,2014,11,3587900,3408600,179300,5.0
Massachusetts,0,2014,12,3576900,3400800,176000,4.9
