data type,Labor Force,Labor Force,Labor Force,Employment,Employment,Employment,Unemployment,Unemployment,Unemployment,Rate %,Rate %,Rate %
Tewksbury,"16,331","16,667","16,392","15,648","15,975","15,529",683,692,863,4.2,4.2,5.3
Tisbury,"2,274","2,703","2,392","2,165","2,595","2,257",109,108,135,4.8,4,5.6
Tolland,274,278,282,265,268,269,9,10,13,3.3,3.6,4.6
Topsfield,"3,317","3,397","3,353","3,213","3,292","3,217",104,105,136,3.1,3.1,4.1
Townsend,"5,180","5,332","5,228","4,965","5,090","4,949",215,242,279,4.2,4.5,5.3
Truro,"1,208","1,299","1,250","1,114","1,206","1,148",94,93,102,7.8,7.2,8.2
Tyngsborough,"6,656","6,794","6,686","6,389","6,518","6,333",267,276,353,4,4.1,5.3
Tyringham,158,166,160,148,159,153,10,7,7,6.3,4.2,4.4
Upton,"4,150","4,205","4,147","3,988","4,045","3,947",162,160,200,3.9,3.8,4.8
Uxbridge,"7,695","7,883","7,817","7,383","7,551","7,380",312,332,437,4.1,4.2,5.6
Wakefield,"15,068","15,379","15,022","14,492","14,807","14,347",576,572,675,3.8,3.7,4.5
Wales,959,971,979,914,925,915,45,46,64,4.7,4.7,6.5
Walpole,"12,778","13,038","12,746","12,306","12,562","12,142",472,476,604,3.7,3.7,4.7
Waltham,"36,445","37,272","36,337","35,154","35,964","34,753","1,291","1,308","1,584",3.5,3.5,4.4
Ware,"5,194","5,220","5,228","4,910","4,920","4,874",284,300,354,5.5,5.7,6.8
Wareham,"12,439","13,544","12,671","11,781","12,867","11,871",658,677,800,5.3,5,6.3
Warren,"2,377","2,461","2,401","2,248","2,327","2,239",129,134,162,5.4,5.4,6.7
Warwick,486,492,498,471,476,476,15,16,22,3.1,3.3,4.4
Washington,310,325,321,296,311,303,14,14,18,4.5,4.3,5.6
Watertown,"20,518","20,967","20,539","19,838","20,309","19,695",680,658,844,3.3,3.1,4.1
Wayland,"6,725","6,904","6,799","6,501","6,680","6,503",224,224,296,3.3,3.2,4.4
Webster,"8,606","8,730","8,603","8,101","8,213","7,973",505,517,630,5.9,5.9,7.3
Wellesley,"13,051","13,323","13,062","12,601","12,880","12,491",450,443,571,3.4,3.3,4.4
Wellfleet,"1,577","1,722","1,650","1,466","1,622","1,531",111,100,119,7,5.8,7.2
Wendell,442,462,451,419,438,425,23,24,26,5.2,5.2,5.8
Wenham,"2,564","2,635","2,573","2,479","2,545","2,461",85,90,112,3.3,3.4,4.4
West Boylston,"3,104","3,155","3,113","2,942","2,988","2,924",162,167,189,5.2,5.3,6.1
West Bridgewater,"3,720","3,757","3,737","3,566","3,599","3,550",154,158,187,4.1,4.2,5
West Brookfield,"2,047","2,103","2,058","1,957","1,999","1,937",90,104,121,4.4,4.9,5.9
West Newbury,"2,259","2,378","2,292","2,175","2,300","2,196",84,78,96,3.7,3.3,4.2
West Springfield,"14,490","14,555","14,601","13,775","13,805","13,676",715,750,925,4.9,5.2,6.3
West Stockbridge,759,802,785,733,778,758,26,24,27,3.4,3,3.4
West Tisbury,"1,554","1,827","1,655","1,506","1,781","1,596",48,46,59,3.1,2.5,3.6
Westborough,"10,114","10,330","10,129","9,785","9,982","9,696",329,348,433,3.3,3.4,4.3
Westfield,"20,780","20,955","20,959","19,734","19,795","19,580","1,046","1,160","1,379",5,5.5,6.6
Westford,"11,748","12,046","11,802","11,320","11,613","11,276",428,433,526,3.6,3.6,4.5
Westhampton,997,"1,015","1,017",963,977,971,34,38,46,3.4,3.7,4.5
Westminster,"4,215","4,342","4,316","4,052","4,174","4,089",163,168,227,3.9,3.9,5.3
Weston,"5,216","5,337","5,250","5,054","5,180","5,029",162,157,221,3.1,2.9,4.2
Westport,"8,126","8,326","8,224","7,684","7,871","7,692",442,455,532,5.4,5.5,6.5
Westwood,"7,430","7,589","7,422","7,183","7,343","7,125",247,246,297,3.3,3.2,4
Weymouth,"30,093","30,730","30,110","28,686","29,308","28,358","1,407","1,422","1,752",4.7,4.6,5.8
Whately,953,"1,020",958,925,993,925,28,27,33,2.9,2.6,3.4
Whitman,"8,930","9,005","8,969","8,544","8,620","8,498",386,385,471,4.3,4.3,5.3
Wilbraham,"7,465","7,484","7,502","7,177","7,194","7,131",288,290,371,3.9,3.9,4.9
Williamsburg,"1,379","1,428","1,415","1,327","1,376","1,341",52,52,74,3.8,3.6,5.2
Williamstown,"3,095","3,143","3,205","2,966","3,007","3,029",129,136,176,4.2,4.3,5.5
Wilmington,"12,608","12,891","12,627","12,105","12,384","11,959",503,507,668,4,3.9,5.3
Winchendon,"5,309","5,534","5,414","5,039","5,244","5,059",270,290,355,5.1,5.2,6.6
Winchester,"10,502","10,763","10,556","10,176","10,429","10,098",326,334,458,3.1,3.1,4.3
Windsor,509,535,520,491,515,498,18,20,22,3.5,3.7,4.2
Winthrop,"10,283","10,472","10,289","9,836","10,047","9,726",447,425,563,4.3,4.1,5.5
Woburn,"22,308","22,784","22,370","21,418","21,904","21,229",890,880,"1,141",4,3.9,5.1
Worcester,"90,376","91,896","90,760","85,358","86,712","84,383","5,018","5,184","6,377",5.6,5.6,7
Worthington,651,686,664,628,657,633,23,29,31,3.5,4.2,4.7
Wrentham,"6,324","6,522","6,332","6,106","6,292","6,045",218,230,287,3.4,3.5,4.5
Yarmouth,"11,924","12,886","12,304","11,341","12,303","11,557",583,583,747,4.9,4.5,6.1
