Municipality,Type,County,State,Address - Combined,latitude,longitude
Hadley,Town,Hampshire,MA,"Hadley, MA, USA",42.341757,-72.588422
Halifax,Town,Plymouth,MA,"Halifax, MA, USA",41.991213,-70.861985
Hamilton,Town,Essex,MA,"Hamilton, MA, USA",42.636205,-70.843105
Hampden,Town,Hampden,MA,"Hampden, MA, USA",42.063984,-72.413417
Hancock,Town,Berkshire,MA,"Hancock, MA, USA",42.543138,-73.323718
Hanover,Town,Plymouth,MA,"Hanover, MA, USA",42.116222,-70.847671
Hanson,Town,Plymouth,MA,"Hanson, MA, USA",42.075189,-70.880019
Hardwick,Town,Worcester,MA,"Hardwick, MA, USA",42.349055,-72.198656
Harvard,Town,Worcester,MA,"Harvard, MA, USA",42.500092,-71.582844
Harwich,Town,Barnstable,MA,"Harwich, MA, USA",41.67165,-70.062223
Hatfield,Town,Hampshire,MA,"Hatfield, MA, USA",42.370976,-72.598184
Haverhill,City,Essex,MA,"Haverhill, MA, USA",42.776202,-71.07728
Hawley,Town,Franklin,MA,"Hawley, MA, USA",42.605083,-72.913245
Heath,Town,Franklin,MA,"Heath, MA, USA",42.673417,-72.821762
Hingham,Town,Plymouth,MA,"Hingham, MA, USA",42.241817,-70.889759
Hinsdale,Town,Berkshire,MA,"Hinsdale, MA, USA",42.438697,-73.12538
Holbrook,Town,Norfolk,MA,"Holbrook, MA, USA",42.144846,-71.014118
Holden,Town,Worcester,MA,"Holden, MA, USA",42.351759,-71.863406
Holland,Town,Hampden,MA,"Holland, MA, USA",42.063952,-72.157288
Holliston,Town,Middlesex,MA,"Holliston, MA, USA",42.200097,-71.424505
Holyoke,City,Hampden,MA,"Holyoke, MA, USA",42.204259,-72.616201
Hopedale,Town,Worcester,MA,"Hopedale, MA, USA",42.130636,-71.541208
Hopkinton,Town,Middlesex,MA,"Hopkinton, MA, USA",42.228695,-71.522565
Hubbardston,Town,Worcester,MA,"Hubbardston, MA, USA",42.473701,-72.006188
Hudson,Town,Middlesex,MA,"Hudson, MA, USA",42.391736,-71.566139
Hull,Town,Plymouth,MA,"Hull, MA, USA",42.302065,-70.907835
Huntington,Town,Hampshire,MA,"Huntington, MA, USA",42.233522,-72.879602
Ipswich,Town,Essex,MA,"Ipswich, MA, USA",42.679183,-70.841156
Kingston,Town,Plymouth,MA,"Kingston, MA, USA",41.993275,-70.728478
Lakeville,Town,Plymouth,MA,"Lakeville, MA, USA",41.845917,-70.949523
Lancaster,Town,Worcester,MA,"Lancaster, MA, USA",42.455645,-71.673124
Lanesborough,Town,Berkshire,MA,"Berkshire, Lanesborough, MA, USA",42.51186,-73.192425
Lawrence,City,Essex,MA,"Lawrence, MA, USA",42.707035,-71.163114
Lee,Town,Berkshire,MA,"Lee, MA, USA",42.304215,-73.248195
Leicester,Town,Worcester,MA,"Leicester, MA, USA",42.245926,-71.908684
Lenox,Town,Berkshire,MA,"Lenox, MA, USA",42.356461,-73.284876
Leominster,City,Worcester,MA,"Leominster, MA, USA",42.525091,-71.759794
Leverett,Town,Franklin,MA,"Leverett, MA, USA",42.451958,-72.501133
Lexington,Town,Middlesex,MA,"Lexington, MA, USA",42.443037,-71.228964
Leyden,Town,Franklin,MA,"Leyden, MA, USA",42.700084,-72.630091
Lincoln,Town,Middlesex,MA,"Lincoln, MA, USA",42.425928,-71.303947
